lat,lon,hieight,disturbancePotential,geoidHeight,gravityAnomal,gravityDisturbance
20.0833,124.833,0,318.041,32.4589,-1.86207,8.11471
20.0833,124.917,0,319.347,32.5921,-2.10048,7.91725
20.0833,125,0,320.826,32.7431,-1.52787,8.53626
20.0833,125.083,0,322.466,32.9105,-0.240734,9.87485
20.0833,125.167,0,324.24,33.0915,1.60517,11.7764
20.0833,125.25,0,326.104,33.2818,3.80414,14.0339
20.0833,125.333,0,328.008,33.476,6.11252,16.4019
20.0833,125.417,0,329.89,33.6681,8.26524,18.6137
20.0833,125.5,0,331.689,33.8518,9.99803,20.4029
20.0833,125.583,0,333.348,34.021,11.0751,21.5321
20.0833,125.667,0,334.819,34.1711,11.3201,21.8232
20.0833,125.75,0,336.074,34.2992,10.6449,21.1873
20.0833,125.833,0,337.106,34.4046,9.0716,19.6464
20.0833,125.917,0,337.936,34.4893,6.74064,17.3415
20.1667,118,0,165.911,16.9327,3.76628,8.97084
20.1667,118.083,0,169.122,17.2604,6.47087,11.7761
20.1667,118.167,0,172.189,17.5733,8.29115,13.6926
20.1667,118.25,0,175.046,17.8649,8.87441,14.3655
20.1667,118.333,0,177.68,18.1338,8.16982,13.7435
20.1667,118.417,0,180.134,18.3842,6.46032,12.111
20.1667,118.5,0,182.501,18.6258,4.32126,10.0462
20.1667,118.583,0,184.9,18.8707,2.50989,8.31013
20.1667,118.667,0,187.453,19.1312,1.80535,7.68567
20.1667,118.75,0,190.248,19.4165,2.83091,8.7989
20.1667,118.833,0,193.315,19.7294,5.89611,11.9603
20.1667,118.917,0,196.607,20.0654,10.8942,17.0617
20.1667,119,0,200.002,20.412,17.2808,23.5548
20.1667,119.083,0,203.314,20.75,24.143,30.5209
20.1667,119.167,0,206.324,21.0571,30.3501,36.8224
20.1667,119.25,0,208.816,21.3114,34.7586,41.3091
20.1667,119.333,0,210.619,21.4955,36.4317,43.0387
20.1667,119.417,0,211.641,21.5998,34.8278,41.4669
20.1667,119.5,0,211.89,21.6252,29.919,36.5659
20.1667,119.583,0,211.472,21.5826,22.2105,28.8443
20.1667,119.667,0,210.579,21.4914,12.6538,19.2595
20.1667,119.75,0,209.452,21.3764,2.46823,9.03863
20.1667,119.833,0,208.339,21.2628,-7.096,-0.560512
