# BGI DATA EXTRACTION
# REQUEST : latitude =38.30000000/41.80000000  longitude =-84.90000000/-80.50000000  country=102
# source	lat(deg)	long(deg)	alt(m) 	g(mgal)
31020552 39.60360000 -84.65380000 247.5 980064.43
31020485 39.63130000 -84.65240000 264.8 980056.53
31020552 39.55240000 -84.65240000 240.2 980069.89
31020552 40.24290000 -84.65240000 315.2 980099.92
31020552 40.27910000 -84.65240000 324.9 980102.04
31020552 39.85790000 -84.65190000 338.3 980036.97
31020015 40.35210000 -84.65160000 301.0 980111.79
31020552 39.81660000 -84.65160000 331.0 980034.52
31020036 41.76660000 -84.65130000 305.7 980225.23
31020552 39.72960000 -84.65110000 324.3 980031.18
31020566 39.31340000 -84.65060000 170.1 980051.86
31020552 39.67740000 -84.65030000 313.9 980038.35
31020552 40.40660000 -84.64860000 305.1 980116.92
31020015 39.96060000 -84.64830000 330.6 980051.10
31020015 40.07790000 -84.64830000 318.8 980066.96
31020552 40.45040000 -84.64790000 284.4 980123.38
31020552 40.49410000 -84.64780000 274.6 980131.38
31020552 40.56740000 -84.64780000 274.6 980144.44
31020566 39.35990000 -84.64760000 182.9 980061.60
31020015 40.13630000 -84.64660000 314.9 980079.11
31020552 39.64190000 -84.64440000 264.3 980053.80
31020015 39.62930000 -84.64330000 256.4 980057.79
31020552 39.52330000 -84.64240000 275.2 980061.41
31020015 40.21160000 -84.64160000 307.5 980099.12
31020015 40.28080000 -84.63990000 315.8 980105.19
31020552 39.61080000 -84.63960000 294.7 980053.55
31020015 40.41740000 -84.63830000 295.8 980120.21
31020566 39.26010000 -84.63830000 265.5 980015.58
31020552 40.26460000 -84.63630000 317.3 980103.41
31020566 39.09580000 -84.63530000 256.6 979983.93
31020566 41.47030000 -84.63190000 251.8 980223.76
31020015 39.68280000 -84.63160000 301.8 980039.19
31020015 39.79330000 -84.63160000 325.6 980034.32
31020485 39.94580000 -84.63160000 330.0 980050.08
31020485 39.80040000 -84.63040000 326.7 980034.56
31020015 39.83230000 -84.62990000 341.0 980034.99
31020566 41.29490000 -84.62990000 222.5 980212.45
31020485 40.06290000 -84.62910000 321.5 980065.24
31020552 40.42110000 -84.62880000 290.8 980121.11
31020566 41.38330000 -84.62860000 227.7 980219.81
31020015 39.84780000 -84.62830000 335.4 980037.87
31020015 40.48080000 -84.62830000 277.7 980128.39
31020566 39.42030000 -84.62790000 275.8 980052.22
31020015 39.89860000 -84.62660000 333.1 980044.40
31020015 39.73790000 -84.61830000 316.1 980033.28
31020363 38.96990000 -84.61490000 283.5 979973.40
31020015 39.51080000 -84.61330000 226.4 980069.10
31020036 41.76740000 -84.61160000 311.2 980223.50
31020363 38.86990000 -84.61160000 283.5 979973.50
31020552 39.61780000 -84.61160000 307.8 980046.50
31020566 39.22110000 -84.61060000 258.8 980004.30
31020552 40.40660000 -84.60960000 295.3 980118.38
31020552 40.49440000 -84.60960000 269.8 980131.31
31020552 40.45040000 -84.60940000 283.2 980123.97
31020552 40.50910000 -84.60940000 267.6 980134.12
31020552 40.53830000 -84.60910000 263.3 980140.07
31020552 40.58210000 -84.60910000 263.7 980146.53
31020552 40.27910000 -84.60880000 324.0 980106.69
31020552 40.30110000 -84.60880000 319.7 980108.95
31020552 40.32290000 -84.60880000 307.8 980112.62
31020566 39.47880000 -84.60880000 220.1 980067.80
31020015 39.15580000 -84.60660000 279.2 979987.50
31020041 38.76330000 -84.60490000 288.0 979965.63
31020329 39.84990000 -84.60490000 330.7 980042.02
31020552 39.84990000 -84.60460000 329.1 980041.08
31020552 39.82880000 -84.60440000 331.9 980038.39
31020552 39.71410000 -84.60360000 314.3 980034.92
31020552 40.36630000 -84.59990000 291.4 980118.01
31020015 40.86240000 -84.59830000 238.9 980167.98
31020363 38.73330000 -84.59660000 284.4 979959.10
31020566 41.55740000 -84.59360000 274.3 980225.15
